ProductKey,Supplier,HierarchyLevel1,HierarchyLevel2,DIorDOM,Seasonal
34570,13194,80445,28611,DOM,False
36890,13194,80445,28611,DOM,False
1598,13194,80445,28611,DOM,False
39451,13194,80445,28611,DOM,False
55240,13194,80445,28611,DOM,False
53254,13194,80445,28611,DOM,False
57330,13194,80445,28611,DOM,False
4453,13194,80445,28611,DOM,False
11789,13194,80445,28611,DOM,False
63296,13194,80445,28611,DOM,False
34489,13194,80445,28611,DOM,False
37750,13194,80445,28611,DOM,False
60888,13194,80445,47024,DOM,False
91,13194,80445,47024,DOM,False
70636,13194,80445,28611,DOM,False
77724,13194,80445,28611,DOM,False
77463,13194,80445,28611,DOM,False
66168,13194,80445,28611,DOM,False
79729,13194,80445,28611,DOM,False
10725,13194,80445,28611,DOM,False
42032,13194,80445,28611,DOM,False
18641,13194,80445,28611,DOM,False
52905,13194,80445,28611,DOM,False
4945,13194,80445,28611,DOM,False
45372,13194,80445,47024,DOM,False
53161,13194,80445,28611,DOM,False
55163,13194,80445,28611,DOM,False
29958,13194,80445,28611,DOM,False
35398,13194,80445,28611,DOM,False
53118,13194,80445,47024,DOM,False
17231,13194,80445,28611,DOM,False
52841,13194,80445,28611,DOM,False
20523,13194,80445,47024,DOM,False
67195,13194,80445,28611,DOM,False
66956,13194,80445,28611,DOM,False
30314,13194,80445,28611,DOM,False
12196,13194,80445,28611,DOM,False
35288,13194,80445,28611,DOM,False
60797,13194,80445,28611,DOM,False
10025,13194,80445,28611,DOM,False
16430,13194,80445,28611,DOM,False
8911,13194,80445,28611,DOM,False
53535,13194,80445,28611,DOM,False
75765,13194,80445,28611,DOM,False
2953,13194,80445,28611,DOM,False
32578,13194,80445,47024,DOM,False
49449,13194,80445,47024,DOM,False
70689,13194,80445,28611,DOM,False
73912,13194,80445,28611,DOM,False
5736,13194,80445,28611,DOM,False
38846,13194,80445,28611,DOM,False
63843,13194,80445,28611,DOM,False
21959,13194,80445,28611,DOM,False
5638,13194,80445,28611,DOM,False
52920,13194,80445,28611,DOM,False
39298,13194,80445,28611,DOM,False
30923,13194,80445,28611,DOM,False
79979,13194,80445,28611,DOM,False
43542,13194,80445,28611,DOM,False
77373,13194,80445,28611,DOM,False
61989,13194,80445,28611,DOM,False
66841,13194,80445,28611,DOM,False
52877,13194,80445,28611,DOM,False
24391,13194,80445,28611,DOM,False
41725,13194,80445,28611,DOM,False
77193,13194,80445,28611,DOM,False
12919,13194,80445,28611,DOM,False
36516,13194,80445,28611,DOM,False
21580,13194,80445,28611,DOM,False
30531,13194,80445,28611,DOM,False
72904,13194,80445,28611,DOM,False
64830,13194,80445,28611,DOM,False
32281,13194,80445,28611,DOM,False
17003,13194,80445,28611,DOM,False
60019,13194,80445,28611,DOM,False
69440,13194,80445,28611,DOM,False
37783,13194,80445,28611,DOM,False
11907,13194,80445,28611,DOM,False
25437,13194,80445,28611,DOM,False
5350,13194,80445,47024,DOM,False
2677,13194,80445,28611,DOM,False
2926,13194,80445,28611,DOM,False
11386,13194,80445,28611,DOM,False
74678,13194,80445,28611,DOM,False
76932,13194,80445,28611,DOM,False
46426,13194,80445,47024,DOM,False
58349,13194,80445,28611,DOM,False
43135,13194,80445,28611,DOM,False
7803,13194,80445,28611,DOM,False
32699,13194,80445,28611,DOM,False
59909,13194,80445,28611,DOM,False
69178,13194,80445,28611,DOM,False
80075,13194,80445,28611,DOM,False
59078,13194,80445,28611,DOM,False
40967,13194,80445,28611,DOM,False
54419,13194,80445,28611,DOM,False
64581,13194,80445,28611,DOM,False
8376,13194,80445,28611,DOM,False
14674,13194,80445,28611,DOM,False
75778,13194,80445,28611,DOM,False
49982,13194,80445,28611,DOM,False
11033,13194,80445,28611,DOM,False
16049,13194,80445,28611,DOM,False
25987,13194,80445,28611,DOM,False
54944,13194,80445,28611,DOM,False
66800,13194,80445,28611,DOM,False
76710,13194,80445,28611,DOM,False
25157,13194,80445,28611,DOM,False
67549,13194,80445,28611,DOM,False
46303,13194,80445,28611,DOM,False
25538,13194,80445,28611,DOM,False
40452,13194,80445,28611,DOM,False
34102,13194,80445,28611,DOM,False
22528,13194,80445,28611,DOM,False
1144,13194,80445,28611,DOM,False
46945,13194,80445,28611,DOM,False
76980,13194,80445,28611,DOM,False
42706,13194,80445,28611,DOM,False
33242,13194,80445,28611,DOM,False
63606,13194,80445,28611,DOM,False
70851,13194,80445,28611,DOM,False
61203,13194,80445,28611,DOM,False
49011,13194,80445,28611,DOM,False
19369,13194,80445,28611,DOM,False
35000,13194,80445,28611,DOM,False
72856,13194,80445,28611,DOM,False
29169,13194,80445,28611,DOM,False
19260,13194,80445,28611,DOM,False
12924,13194,80445,28611,DOM,False
20910,13194,80445,28611,DOM,False
60525,13194,80445,28611,DOM,False
67360,13194,80445,28611,DOM,False
1469,13194,80445,28611,DOM,False
16026,13194,80445,28611,DOM,False
21764,13194,80445,28611,DOM,False
62943,13194,80445,28611,DOM,False
48027,13194,80445,28611,DOM,False
56648,13194,80445,28611,DOM,False
50358,13194,80445,28611,DOM,False
34788,13194,80445,28611,DOM,False
29460,13194,80445,28611,DOM,False
8530,13194,80445,28611,DOM,False
36028,13194,80445,28611,DOM,False
66363,13194,80445,28611,DOM,False
60510,13194,80445,28611,DOM,False
62116,13194,80445,28611,DOM,False
12884,13194,80445,28611,DOM,False
29953,13194,80445,28611,DOM,False
45352,13194,80445,28611,DOM,False
21692,13194,80445,47024,DOM,False
69157,13194,80445,47024,DOM,False
24282,13194,80445,28611,DOM,False
69030,13194,80445,28611,DOM,False
14616,13194,80445,28611,DOM,False
70394,13194,80445,28611,DOM,False
38731,13194,80445,28611,DOM,False
32588,13194,80445,28611,DOM,False
32021,13194,80445,28611,DOM,False
43146,13194,80445,28611,DOM,False
19801,13194,80445,28611,DOM,False
46054,13194,80445,28611,DOM,False
17386,13194,80445,28611,DOM,False
13594,13194,80445,28611,DOM,False
33314,13194,80445,28611,DOM,False
21107,13194,80445,28611,DOM,False
38633,13194,80445,28611,DOM,False
16475,13194,80445,28611,DOM,False
8351,13194,80445,28611,DOM,False
35805,13194,80445,28611,DOM,False
78381,13194,80445,28611,DOM,False
12593,13194,80445,28611,DOM,False
49444,13194,80445,28611,DOM,False
76671,13194,80445,28611,DOM,False
4209,13194,80445,28611,DOM,False
7229,13194,80445,28611,DOM,False
42028,13194,80445,28611,DOM,False
68702,13194,80445,28611,DOM,False
77044,13194,80445,28611,DOM,False
77185,13194,80445,28611,DOM,False
67891,13194,80445,28611,DOM,False
33840,13194,80445,28611,DOM,False
53347,13194,80445,28611,DOM,False
56709,13194,80445,28611,DOM,False
80282,13194,80445,28611,DOM,False
38094,13194,80445,28611,DOM,False
30433,13194,80445,28611,DOM,False
64946,13194,80445,28611,DOM,False
23077,13194,80445,28611,DOM,False
57548,13194,80445,28611,DOM,False
39191,13194,80445,28611,DOM,False
29788,13194,80445,28611,DOM,False
47574,13194,80445,28611,DOM,False
66545,13194,80445,28611,DOM,False
74160,13194,80445,28611,DOM,False
28723,13194,80445,28611,DOM,False
74194,13194,80445,28611,DOM,False
26500,13194,80445,47024,DOM,False
7116,13194,80445,47024,DOM,False
31222,13194,80445,47024,DOM,False
46159,13194,80445,28611,DOM,False
73799,13194,80445,28611,DOM,False
4587,13194,80445,28611,DOM,False
72140,13194,80445,28611,DOM,False
71386,13194,80445,28611,DOM,False
26403,13194,80445,28611,DOM,False
23602,13194,80445,28611,DOM,False
27217,13194,80445,28611,DOM,False
3340,13194,80445,28611,DOM,False
33805,13194,80445,28611,DOM,False
74756,13194,80445,47024,DOM,False
17489,13194,80445,28611,DOM,False
3649,13194,80445,28611,DOM,False
65162,13194,80445,28611,DOM,False
32911,13194,80445,28611,DOM,False
4972,13194,80445,28611,DOM,False
15345,13194,80445,28611,DOM,False
24627,13194,80445,28611,DOM,False
77471,13194,80445,28611,DOM,False
47454,13194,80445,28611,DOM,False
48569,13194,80445,28611,DOM,False
37043,13194,80445,28611,DOM,False
717,13194,80445,28611,DOM,False
65972,13194,80445,28611,DOM,False
20946,13194,80445,28611,DOM,False
49272,13194,80445,28611,DOM,False
12766,13194,80445,28611,DOM,False
61603,13194,80445,28611,DOM,False
73014,13194,80445,28611,DOM,False
57930,13194,80445,28611,DOM,False
67152,13194,80445,28611,DOM,False
34670,13194,80445,28611,DOM,False
14335,13194,80445,28611,DOM,False
13148,13194,80445,28611,DOM,False
61403,13194,80445,28611,DOM,False
79845,13194,80445,28611,DOM,False
24802,13194,80445,28611,DOM,False
72175,13194,80445,28611,DOM,False
2959,13194,80445,28611,DOM,False
32119,13194,80445,28611,DOM,False
13658,13194,80445,28611,DOM,False
12865,13194,80445,28611,DOM,False
12494,13194,80445,28611,DOM,False
3091,13194,80445,28611,DOM,False
48767,13194,80445,28611,DOM,False
30250,13194,80445,28611,DOM,False
18995,13194,80445,28611,DOM,False
11453,13194,80445,28611,DOM,False
2932,13194,80445,28611,DOM,False
23542,13194,80445,28611,DOM,False
23208,13194,80445,28611,DOM,False
63874,13194,80445,28611,DOM,False
71941,13194,80445,28611,DOM,False
28363,13194,80445,28611,DOM,False
53663,13194,80445,28611,DOM,False
32756,13194,80445,28611,DOM,False
28449,13194,80445,28611,DOM,False
13880,13194,80445,28611,DOM,False
54242,13194,80445,28611,DOM,False
18878,13194,80445,28611,DOM,False
70094,13194,80445,28611,DOM,False
7400,13194,80445,28611,DOM,False
19926,13194,80445,28611,DOM,False
63335,13194,80445,28611,DOM,False
62495,13194,80445,28611,DOM,False
59250,13194,80445,28611,DOM,False
49891,13194,80445,28611,DOM,False
72058,13194,80445,28611,DOM,False
9873,13194,80445,28611,DOM,False
49531,51430,59044,12305,DOM,False
21919,13965,59044,3163,DOM,False
18667,51430,59044,12305,DOM,False
28561,51430,59044,3163,DOM,False
58045,51430,59044,12305,DOM,False
18325,13965,59044,3163,DOM,False
64951,13965,59044,61779,DOM,False
20565,13965,59044,61779,DOM,False
28536,13965,59044,61779,DOM,False
26216,13965,59044,61779,DOM,False
17061,13965,59044,61779,DOM,False
77565,13965,59044,61779,DOM,False
16062,13965,59044,3163,DOM,False
40792,55765,59044,61779,DOM,False
42957,13965,59044,61779,DOM,False
59475,13965,59044,61779,DOM,False
52850,13965,59044,61779,DOM,False
78836,13965,59044,61779,DOM,False
36603,13965,59044,3163,DOM,False
44998,13965,59044,61779,DOM,False
59097,13965,59044,61779,DOM,False
796,13965,59044,61779,DOM,False
68057,13965,59044,61779,DOM,False
21680,13965,59044,61779,DOM,False
58314,13965,59044,3163,DOM,False
18947,13965,59044,61779,DOM,False
71197,13965,59044,61779,DOM,False
32101,13965,59044,3163,DOM,False
45304,13965,59044,3163,DOM,False
491,13965,59044,3163,DOM,False
1187,13965,59044,3163,DOM,False
5322,13965,59044,3163,DOM,False
32405,13965,59044,3163,DOM,False
28333,13965,59044,3163,DOM,False
4745,55765,59044,61779,DOM,False
25674,55765,59044,3163,DOM,False
24514,55765,59044,3163,DOM,False
61291,55765,59044,3163,DOM,False
76875,14255,59044,3163,DOM,False
74977,14255,59044,3163,DOM,False
4134,14255,59044,3163,DOM,False
37774,14255,59044,12305,DOM,False
26372,14255,59044,12305,DOM,False
34506,14255,59044,3163,DOM,False
68309,14255,59044,3163,DOM,False
34533,14255,59044,3163,DOM,False
21040,14255,59044,3163,DOM,False
3517,14255,59044,3163,DOM,False
32511,14255,59044,3163,DOM,False
71831,67847,59044,61779,DOM,False
